Lemma,PoS,Cons,Freq(ipm),Length
убывающий,a,БВЩ,0.9,9
обувщик,s,БВЩК,0.5,7
бег,s,БГ,18.3,3
бега,s,БГ,4.4,4
бог,s,БГ,425.4,3
бугай,s,БГ,1.7,5
обоего,anum,БГ,0.7,6
убогий,a,БГ,11.7,6
убогий,s,БГ,0.7,6
убого,adv,БГ,0.6,5
ей-богу,intj,БГ,9.8,7
богобоязненный,a,БГБЗННН,0.6,14
богоборческий,a,БГБРЧСК,0.4,13
беговой,a,БГВ,2.7,7
буги-вуги,s,БГВГ,0.4,9
богоявление,s,БГВЛН,0.7,11
богоявленский,a,БГВЛНСК,1.5,13
обговаривать,v,БГВРВТ,0.6,12
обговорить,v,БГВРТ,2.1,10
богоугодный,a,БГГДН,1.1,11
бигуди,s,БГД,1.9,6
Багдад,s.PROP,БГДД,5.3,6
багдадский,a,БГДДСК,0.8,10
богадельня,s,БГДЛН,1.7,10
Богдан,s.PROP,БГДН,1.9,6
Богданов,s.PROP,БГДНВ,4.8,8
богдановский,a,БГДНВСК,0.6,12
богоданный,a,БГДНН,0.6,10
багаж,s,БГЖ,12.0,5
багажный,a,БГЖН,2.4,8
багажник,s,БГЖНК,10.3,8
богоизбранный,a,БГЗБРНН,0.4,13
бегло,adv,БГЛ,3.9,5
беглый,a,БГЛ,6.8,6
Боголюбов,s.PROP,БГЛБВ,2.2,9
боеголовка,s,БГЛВК,3.3,10
обгладывать,v,БГЛДВТ,0.5,11
обглодать,v,БГЛДТ,1.6,9
багульник,s,БГЛНК,0.5,9
беглянка,s,БГЛНК,0.5,8
беглость,s,БГЛСТ,0.5,8
обуглить,v,БГЛТ,2.0,8
обуглиться,v,БГЛТС,0.7,10
беглец,s,БГЛЦ,6.3,6
бегом,adv,БГМ,11.3,5
богема,s,БГМ,3.7,6
богомол,s,БГМЛ,0.5,7
Богомолов,s.PROP,БГМЛВ,5.1,9
богомольный,a,БГМЛН,0.5,11
богомолец,s,БГМЛЦ,1.3,9
богемный,a,БГМН,2.1,8
богемский,a,БГМСК,0.5,9
бегемот,s,БГМТ,3.0,7
богоматерь,s,БГМТР,4.3,10
бегония,s,БГН,0.6,7
бегун,s,БГН,2.4,5
богиня,s,БГН,8.1,6
обгон,s,БГН,2.2,5
биогенный,a,БГНН,0.5,9
богоносец,s,БГНСЦ,0.6,9
обгонять,v,БГНТ,6.4,8
обогнать,v,БГНТ,7.9,8
обогнуть,v,БГНТ,4.6,8
богопротивный,a,БГПРТВН,0.4,13
багор,s,БГР,1.7,5
бугор,s,БГР,10.1,5
багровый,a,БГРВ,6.9,8
обогрев,s,БГРВ,2.1,7
багроветь,v,БГРВТ,1.4,9
обогревать,v,БГРВТ,0.9,10
обыгрывать,v,БГРВТ,1.7,10
обогреватель,s,БГРВТЛ,1.2,12
обыгрываться,v,БГРВТС,0.4,12
богородский,a,БГРДСК,0.6,11
богородица,s,БГРДЦ,8.4,10
богородичный,a,БГРДЧН,1.8,12
обгрызть,v,БГРЗТ,0.7,8
бугорок,s,БГРК,4.1,7
обгорелый,a,БГРЛ,2.0,9
багряный,a,БГРН,1.1,8
бугристый,a,БГРСТ,1.7,9
обагрить,v,БГРТ,0.5,8
обгореть,v,БГРТ,3.3,8
обогреть,v,БГРТ,1.4,8
обыграть,v,БГРТ,4.7,8
бугриться,v,БГРТС,0.5,9
обогреться,v,БГРТС,0.6,10
биограф,s,БГРФ,2.6,7
биография,s,БГРФ,27.4,9
биографический,a,БГРФЧСК,4.5,14
богослов,s,БГСЛВ,7.4,8
богословие,s,БГСЛВ,6.5,10
богословский,a,БГСЛВСК,9.4,12
Богословский,s.PROP,БГСЛВСК,1.8,12
богослужебный,a,БГСЛЖБН,2.1,13
богослужение,s,БГСЛЖН,11.6,12
убогость,s,БГСТ,1.0,8
бегство,s,БГСТВ,11.1,7
богооставленность,s,БГСТВЛННСТ,0.6,17
багет,s,БГТ,0.8,5
бегать,v,БГТ,59.2,6
богатей,s,БГТ,1.5,7
богато,adv,БГТ,4.0,6
богатый,a,БГТ,85.0,7
обегать,v,БГТ,1.3,7
убегать,v,БГТ,17.1,7
боеготовый,a,БГТВ,0.6,10
боеготовность,s,БГТВНСТ,2.2,13
боготворить,v,БГТВРТ,3.1,11
беготня,s,БГТН,2.7,7
богатенький,a,БГТНК,1.2,11
богатырь,s,БГТР,10.3,8
богатырский,a,БГТРСК,2.4,11
богатство,s,БГТСТВ,38.1,9
богатеть,v,БГТТ,1.8,8
обогатить,v,БГТТ,6.2,9
обогатительный,a,БГТТЛН,1.8,14
обогатиться,v,БГТТС,2.3,11
богатейший,a,БГТШ,5.6,10
богохульник,s,БГХЛНК,0.4,11
богохульство,s,БГХЛСТВ,0.8,12
биогеохимический,a,БГХМЧСК,0.4,16
биогеоценоз,s,БГЦНЗ,0.6,11
бегучий,a,БГЧ,0.4,7
богач,s,БГЧ,7.6,5
богочеловек,s,БГЧЛВК,1.1,11
богочеловеческий,a,БГЧЛВЧСК,0.4,16
богочеловечество,s,БГЧЛВЧСТВ,0.5,16
обогащение,s,БГЩН,7.3,10
обогащать,v,БГЩТ,3.2,9
обогащаться,v,БГЩТС,1.8,11
бадья,s,БД,1.8,5
байда,s,БД,0.6,5
БД,s.PROP,БД,4.4,2
беда,adv,БД,7.3,4
беда,s,БД,74.4,4
биде,s,БД,0.6,4
буде,conj,БД,1.2,4
обед,s,БД,69.7,4
обида,s,БД,43.4,5
обод,s,БД,2.2,4
ябеда,s,БД,0.4,5
бедовый,a,БДВ,1.0,7
обдавать,v,БДВТ,2.4,8
обдувать,v,БДВТ,1.3,8
бодяга,s,БДГ,1.1,6
будда,s,БДД,7.5,5
буддизм,s,БДДЗМ,3.9,7
буддийский,a,БДДСК,3.2,10
буддист,s,БДДСТ,2.2,7
буддистский,a,БДДСТСК,1.0,11
бюджет,s,БДЖТ,126.0,6
бюджетный,a,БДЖТН,44.4,9
бюджетник,s,БДЖТНК,6.5,9
бюджетополучатель,s,БДЖТПЛЧТЛ,0.4,17
бюджетирование,s,БДЖТРВН,1.6,14
будка,s,БДК,15.6,5
ободок,s,БДК,1.8,6
объедки,s,БДК,1.7,7
быдло,s,БДЛ,2.1,5
бедолага,s,БДЛГ,4.3,8
Абдулла,s.PROP,БДЛЛ,4.4,7
бедлам,s,БДЛМ,1.1,6
будильник,s,БДЛНК,7.1,9
обделить,v,БДЛТ,3.6,8
обдумывание,s,БДМВН,1.2,11
обдумывать,v,БДМВТ,8.3,10
обдуманно,adv,БДМНН,0.8,9
обдуманный,a,БДМНН,1.0,10
бадминтон,s,БДМНТН,0.6,9
обдумать,v,БДМТ,6.6,8
бдение,s,БДН,2.7,6
бедно,adv,БДН,3.3,5
бедный,a,БДН,84.0,6
бедуин,s,БДН,0.8,6
бидон,s,БДН,3.4,5
бодун,s,БДН,0.9,5
будни,s,БДН,8.7,5
будний,a,БДН,1.8,6
обедня,s,БДН,1.2,6
обидно,adv,БДН,22.4,6
обидный,a,БДН,12.1,7
обоюдно,adv,БДН,0.4,7
обоюдный,a,БДН,4.5,8
Буданов,s.PROP,БДНВ,2.2,7
буденовка,s,БДНВК,0.6,9
бедняга,s,БДНГ,8.2,7
бедняжка,s,БДНЖК,2.7,8
бедняк,s,БДНК,3.7,6
Буденный,s.PROP,БДНН,3.3,8
обеденный,a,БДНН,9.2,9
обеднение,s,БДНН,0.5,9
объединение,s,БДНН,68.6,11
обыденно,adv,БДНН,0.7,8
обыденный,a,БДНН,10.5,9
буденновский,a,БДННВСК,0.6,12
бедненький,a,БДННК,1.8,10
обыденность,s,БДННСТ,2.6,11
бедность,s,БДНСТ,18.5,8
беднеть,v,БДНТ,0.4,7
беднота,s,БДНТ,1.3,7
боднуть,v,БДНТ,0.7,7
обеднеть,v,БДНТ,1.4,8
обеднить,v,БДНТ,0.9,8
обеднять,v,БДНТ,0.7,8
объединить,v,БДНТ,43.2,10
объединять,v,БДНТ,23.1,10
объединительный,a,БДНТЛН,1.1,15
объединиться,v,БДНТС,8.1,12
объединяться,v,БДНТС,6.2,12
бедняцкий,a,БДНЦК,0.5,9
бидончик,s,БДНЧК,0.5,8
буднично,adv,БДНЧН,2.3,8
будничный,a,БДНЧН,4.9,9
беднейший,a,БДНШ,1.1,9
Будапешт,s.PROP,БДПШТ,4.6,8
будапештский,a,БДПШТСК,0.6,12
байдара,s,БДР,0.5,7
бедро,s,БДР,24.3,5
бодро,adv,БДР,12.6,5
бодрый,a,БДР,14.6,6
будуар,s,БДР,0.9,6
будоражить,v,БДРЖТ,4.4,10
байдарка,s,БДРК,1.5,8
баядерка,s,БДРК,0.4,8
ободрение,s,БДРН,0.4,9
бодренький,a,БДРНК,0.4,10
бодренько,adv,БДРНК,0.4,9
бедренный,a,БДРНН,1.4,9
бодрость,s,БДРСТ,5.9,8
бодрствование,s,БДРСТВВН,1.1,13
бодрствовать,v,БДРСТВВТ,2.4,12
бодрить,v,БДРТ,1.3,7
обдирать,v,БДРТ,1.5,8
ободрать,v,БДРТ,5.2,8
ободрить,v,БДРТ,2.7,8
ободрять,v,БДРТ,1.4,8
бодриться,v,БДРТС,1.1,9
ободриться,v,БДРТС,0.4,10
бодрящий,a,БДРЩ,1.2,8
ободряюще,adv,БДРЩ,1.7,9
ободряющий,a,БДРЩ,0.9,10
бедствие,s,БДСТВ,13.3,8
бедствовать,v,БДСТВВТ,2.3,11
бедственный,a,БДСТВНН,2.3,11
бедствующий,a,БДСТВЩ,0.6,11
обоюдоострый,a,БДСТР,0.8,12
бдеть,v,БДТ,0.9,5
БДТ,s.PROP,БДТ,2.6,3
бодать,v,БДТ,0.4,6
будить,v,БДТ,15.1,6
будто,conj,БДТ,173.8,5
будто,part,БДТ,168.5,5
обдать,v,БДТ,3.3,6
обдуть,v,БДТ,0.4,6
обедать,v,БДТ,18.7,7
обидеть,v,БДТ,30.4,7
объедать,v,БДТ,0.7,8
убедить,v,БДТ,45.2,7
бдительно,adv,БДТЛН,1.7,9
бдительный,a,БДТЛН,5.6,10
убедительно,adv,БДТЛН,12.8,11
убедительный,a,БДТЛН,15.2,12
бдительность,s,БДТЛНСТ,8.8,12
убедительность,s,БДТЛНСТ,4.7,14
бодаться,v,БДТС,0.9,8
обидеться,v,БДТС,32.3,9
объедаться,v,БДТС,0.6,10
убедиться,v,БДТС,47.7,9
обидчиво,adv,БДЧВ,0.4,8
обидчивый,a,БДЧВ,2.0,9
обидчивость,s,БДЧВСТ,0.5,11
будочка,s,БДЧК,0.8,7
обидчик,s,БДЧК,4.7,7
будущее,s,БДЩ,131.4,7
будущий,a,БДЩ,111.7,7
будущность,s,БДЩНСТ,1.1,10
боже,intj,БЖ,5.9,4
божий,a,БЖ,99.9,5
бежевый,a,БЖВ,3.5,7
обживать,v,БЖВТ,1.1,8
обживаться,v,БЖВТС,0.6,10
обжиг,s,БЖГ,1.2,5
обжигать,v,БЖГТ,7.1,8
обжигаться,v,БЖГТС,1.3,10
убеждение,s,БЖДН,30.1,9
убежденно,adv,БЖДНН,4.5,9
убежденный,a,БЖДНН,19.0,10
убежденность,s,БЖДННСТ,5.2,12
обождать,v,БЖДТ,3.5,8
убеждать,v,БЖДТ,22.3,8
убеждаться,v,БЖДТС,7.4,10
божок,s,БЖК,1.0,5
божоле,s,БЖЛ,0.5,6
обжалование,s,БЖЛВН,6.5,11
обжаловать,v,БЖЛВТ,6.2,10
обжаловаться,v,БЖЛВТС,0.6,12
обожание,s,БЖН,2.9,8
баженовский,a,БЖНВСК,2.9,11
беженка,s,БЖНК,0.6,7
боженька,s,БЖНК,0.9,8
буженина,s,БЖНН,0.4,8
обиженно,adv,БЖНН,7.0,8
обиженный,a,БЖНН,5.2,9
беженец,s,БЖНЦ,16.5,7
божница,s,БЖНЦ,0.4,7
абажур,s,БЖР,4.9,6
обжора,s,БЖР,1.1,6
обжаривать,v,БЖРВТ,0.5,10
обжарка,s,БЖРК,0.4,7
обжорство,s,БЖРСТВ,1.0,9
обжарить,v,БЖРТ,2.3,8
обожраться,v,БЖРТС,0.7,10
божеский,a,БЖСК,1.7,8
божество,s,БЖСТВ,9.6,8
убожество,s,БЖСТВ,2.2,9
обожествление,s,БЖСТВЛН,0.7,13
обожествлять,v,БЖСТВЛТ,0.6,12
божественно,adv,БЖСТВНН,1.1,11
божественный,a,БЖСТВНН,35.9,12
божественность,s,БЖСТВННСТ,0.7,14
обожествить,v,БЖСТВТ,0.4,11
бежать,v,БЖТ,143.6,6
обежать,v,БЖТ,2.4,7
обжатие,s,БЖТ,0.4,7
обжитой,a,БЖТ,2.4,7
обжить,v,БЖТ,1.3,6
обижать,v,БЖТ,13.5,7
обожать,v,БЖТ,24.3,7
убежать,v,БЖТ,27.5,7
обожатель,s,БЖТЛ,0.6,9
бижутерия,s,БЖТР,1.0,9
божиться,v,БЖТС,1.2,8
обжиться,v,БЖТС,1.1,8
обижаться,v,БЖТС,23.2,9
обжечь,v,БЖЧ,7.8,6
обжечься,v,БЖЧС,2.0,8
убежище,s,БЖЩ,9.1,7
база,s,БЗ,146.7,4
без,pr,БЗ,1018.8,3
безо,pr,БЗ,10.0,4
обоз,s,БЗ,4.6,4
обуза,s,БЗ,2.1,5
безбедно,adv,БЗБДН,0.9,8
безбедный,a,БЗБДН,1.0,9
безобидно,adv,БЗБДН,0.7,9
безобидный,a,БЗБДН,8.1,10
безбожие,s,БЗБЖ,0.9,8
безбожно,adv,БЗБЖН,1.1,8
безбожный,a,БЗБЖН,1.8,9
безбожник,s,БЗБЖНК,1.8,9
безбоязненно,adv,БЗБЗННН,1.0,12
обезболивание,s,БЗБЛВН,0.5,13
обезболивать,v,БЗБЛВТ,0.6,12
обезболивающий,a,БЗБЛВЩ,1.2,14
безболезненно,adv,БЗБЛЗННН,2.3,13
безболезненный,a,БЗБЛЗННН,1.6,14
безбилетный,a,БЗБЛТН,0.5,11
безбилетник,s,БЗБЛТНК,0.7,11
безоблачный,a,БЗБЛЧН,3.5,11
безбородый,a,БЗБРД,0.6,10
безбрежный,a,БЗБРЖН,2.2,10
безобразие,s,БЗБРЗ,12.0,10
безобразно,adv,БЗБРЗН,2.2,10
безобразный,a,БЗБРЗН,6.9,11
безобразничать,v,БЗБРЗНЧТ,1.1,14
обезобразить,v,БЗБРЗТ,1.7,12
безбрачие,s,БЗБРЧ,0.6,9
базовый,a,БЗВ,28.4,7
бязевый,a,БЗВ,0.6,7
безводный,a,БЗВДН,0.9,9
обезводить,v,БЗВДТ,0.5,10
обзаводиться,v,БЗВДТС,1.5,12
обезвоживание,s,БЗВЖВН,0.7,13
безвизовый,a,БЗВЗВ,1.2,10
безвозвратно,adv,БЗВЗВРТН,4.5,12
безвозвратный,a,БЗВЗВРТН,1.1,13
безвыездно,adv,БЗВЗДН,0.4,10
безвоздушный,a,БЗВЗДШН,1.1,12
безвозмездно,adv,БЗВЗМЗДН,2.6,12
безвозмездный,a,БЗВЗМЗДН,4.1,13
безвкусно,adv,БЗВКСН,0.4,9
безвкусный,a,БЗВКСН,2.6,10
безвкусица,s,БЗВКСЦ,1.1,10
безволие,s,БЗВЛ,1.0,8
безвылазно,adv,БЗВЛЗН,0.9,10
безвольно,adv,БЗВЛН,1.8,9
безвольный,a,БЗВЛН,2.8,10
безволосый,a,БЗВЛС,0.5,10
безвластие,s,БЗВЛСТ,0.6,10
обзванивать,v,БЗВНВТ,1.4,11
безвинно,adv,БЗВНН,0.7,8
безвинный,a,БЗВНН,1.4,9
обзвонить,v,БЗВНТ,1.5,9
безверие,s,БЗВР,1.0,8
безвредный,a,БЗВРДН,3.2,10
безвредность,s,БЗВРДНСТ,0.7,12
обезвредить,v,БЗВРДТ,2.7,11
обезвреживание,s,БЗВРЖВН,0.9,14
обезвреживать,v,БЗВРЖВТ,0.6,13
безвременье,s,БЗВРМН,1.4,11
безвременно,adv,БЗВРМНН,1.6,11
безвременный,a,БЗВРМНН,1.4,12
безаварийный,a,БЗВРН,0.6,12
безвестно,adv,БЗВСТН,1.1,9
безвестный,a,БЗВСТН,3.6,10
безвестность,s,БЗВСТНСТ,1.2,12
обзавестись,v,БЗВСТС,8.2,11
обзывать,v,БЗВТ,3.3,8
обозвать,v,БЗВТ,5.7,8
обязывать,v,БЗВТ,10.0,9
безветрие,s,БЗВТР,1.1,9
безветренный,a,БЗВТРНН,1.3,12
обзываться,v,БЗВТС,0.8,10
обязываться,v,БЗВТС,6.1,11
безвыходный,a,БЗВХДН,3.7,11
безвыходность,s,БЗВХДНСТ,0.9,13
безоговорочно,adv,БЗГВРЧН,4.9,13
безоговорочный,a,БЗГВРЧН,3.3,14
безголовый,a,БЗГЛВ,0.8,10
обезглавить,v,БЗГЛВТ,1.7,11
безоглядно,adv,БЗГЛДН,1.6,10
безоглядный,a,БЗГЛДН,1.4,11
безглазый,a,БЗГЛЗ,0.9,9
безголосый,a,БЗГЛС,0.6,10
безгласный,a,БЗГЛСН,0.8,10
безграмотный,a,БЗГРМТН,2.8,12
безграмотность,s,БЗГРМТНСТ,1.8,14
безгранично,adv,БЗГРНЧН,1.1,11
безграничный,a,БЗГРНЧН,7.6,12
безграничность,s,БЗГРНЧНСТ,0.4,14
безгрешный,a,БЗГРШН,2.0,10
объезд,s,БЗД,1.9,6
обуздывать,v,БЗДВТ,0.4,10
бездоказательный,a,БЗДКЗТЛН,0.5,16
безделье,s,БЗДЛ,4.5,8
бездельный,a,БЗДЛН,0.4,10
бездельник,s,БЗДЛНК,5.1,10
обездоленный,a,БЗДЛНН,1.7,12
обездоленность,s,БЗДЛННСТ,0.6,14
бездельничать,v,БЗДЛНЧТ,1.5,13
обездолить,v,БЗДЛТ,1.8,10
безделица,s,БЗДЛЦ,0.6,9
безделушка,s,БЗДЛШК,2.7,10
бездумье,s,БЗДМ,0.4,8
бездомный,a,БЗДМН,7.0,9
бездомный,s,БЗДМН,1.1,9
бездумно,adv,БЗДМН,3.1,8
бездумный,a,БЗДМН,2.6,9
бездымный,a,БЗДМН,0.4,9
бездомность,s,БЗДМНСТ,0.8,11
бездна,s,БЗДН,16.0,6
безыдейный,a,БЗДН,0.6,10
обуздание,s,БЗДН,0.7,9
объездной,a,БЗДН,0.4,9
безденежье,s,БЗДНЖ,2.2,10
безденежный,a,БЗДНЖН,1.0,11
бездонный,a,БЗДНН,6.5,9
бездарь,s,БЗДР,1.3,7
бездорожье,s,БЗДРЖ,2.5,10
безудержно,adv,БЗДРЖН,1.3,10
безудержный,a,БЗДРЖН,3.7,11
бездарно,adv,БЗДРН,2.4,8
бездарный,a,БЗДРН,8.4,9
безударный,a,БЗДРН,0.5,10
безъядерный,a,БЗДРН,0.5,11
бездарность,s,БЗДРНСТ,3.2,11
безадресный,a,БЗДРСН,0.4,11
бездействие,s,БЗДСТВ,7.5,11
бездействовать,v,БЗДСТВВТ,1.8,14
бездействующий,a,БЗДСТВЩ,0.4,14
обуздать,v,БЗДТ,1.9,8
объездить,v,БЗДТ,2.4,9
бездеятельный,a,БЗДТЛН,0.5,13
бездеятельность,s,БЗДТЛНСТ,1.0,15
бездетный,a,БЗДТН,2.0,9
бездефицитный,a,БЗДФЦТН,0.4,13
бездуховный,a,БЗДХВН,0.9,11
бездуховность,s,БЗДХВНСТ,0.9,13
бездыханный,a,БЗДХНН,1.8,11
объездчик,s,БЗДЧК,1.0,9
бездушие,s,БЗДШ,0.6,8
бездушный,a,БЗДШН,2.6,9
безжизненно,adv,БЗЖЗННН,1.0,11
безжизненный,a,БЗЖЗННН,3.5,12
безжалостно,adv,БЗЖЛСТН,7.0,11
безжалостный,a,БЗЖЛСТН,6.9,12
безжалостность,s,БЗЖЛСТНСТ,0.6,14
обезжиренный,a,БЗЖРНН,0.6,12
объезжать,v,БЗЖТ,3.5,9
беззубый,a,БЗЗБ,3.1,8
беззаботно,adv,БЗЗБТН,3.4,10
беззаботный,a,БЗЗБТН,4.1,11
беззаботность,s,БЗЗБТНСТ,1.0,13
беззвездный,a,БЗЗВЗДН,0.5,11
беззаветно,adv,БЗЗВТН,1.5,10
беззаветный,a,БЗЗВТН,1.4,11
беззвучно,adv,БЗЗВЧН,9.4,9
беззвучный,a,БЗЗВЧН,2.8,10
беззаконие,s,БЗЗКН,3.8,10
беззаконный,a,БЗЗКНН,1.2,11
беззлобно,adv,БЗЗЛБН,2.1,9
беззлобный,a,БЗЗЛБН,0.8,10
беззастенчиво,adv,БЗЗСТНЧВ,1.6,13
беззастенчивый,a,БЗЗСТНЧВ,0.8,14
беззащитно,adv,БЗЗЩТН,1.0,10
беззащитный,a,БЗЗЩТН,11.0,11
беззащитность,s,БЗЗЩТНСТ,2.0,13
бзик,s,БЗК,0.5,4
безукоризненно,adv,БЗКРЗННН,2.9,14
безукоризненный,a,БЗКРЗННН,3.7,15
